#{"t_start": 1764136897.55839, "env_id": "merge-v0"}
r,l,t
11.25782,12,67.618519
11.146709,12,67.731274
6.77653,8,67.804455
7.072724,8,67.870451
6.017168,7,67.931125
7.146285,8,67.996697
6.947618,8,68.05826
6.167204,7,68.12031
11.666667,12,68.219431
8.669797,10,68.300657
11.174487,12,68.406859
4.380339,5,68.444648
5.194626,6,68.491619
11.694444,12,68.590575
7.220343,8,68.653583
6.264993,7,68.714963
7.183835,8,68.781493
7.164788,8,68.846266
6.079618,7,68.901898
7.267168,8,68.967717
6.754864,8,69.03685
7.233431,8,69.102313
10.556541,12,69.206655
7.23939,8,69.272364
7.267168,8,69.338529
7.267168,8,69.404081
3.422222,4,69.43861
5.234703,6,69.485707
3.225167,4,69.515491
11.202264,12,69.625884
4.168564,5,69.671409
11.174487,12,69.777145
7.23939,8,69.843836
7.792177,9,69.91381
11.444723,12,70.019804
11.666667,12,70.11777
7.913754,9,70.19794
10.612107,12,70.305284
3.401481,4,70.339627
6.947618,8,70.403636
3.422222,4,70.437967
10.52649,12,70.542319
11.666667,12,70.637666
11.666667,12,70.735779
11.361111,12,70.83487
10.278764,12,70.934591
10.952274,12,71.041362
10.556542,12,71.139543
11.156203,12,71.246035
11.472222,12,71.346248
7.23939,8,71.41073
13.094516,14,71.520295
7.257396,8,71.585659
11.174487,12,71.69096
11.174487,12,71.799328
5.87232,7,71.855064
7.292389,8,71.917599
5.270885,6,71.966794
7.257396,8,72.035104
11.202264,12,72.141274
11.59445,12,72.23959
5.270885,6,72.288195
5.226841,6,72.334969
12.035598,13,72.453421
7.267168,8,72.520072
6.316672,7,72.582451
11.202264,12,72.689113
6.155377,7,72.753548
7.248121,8,72.818035
13.91179,15,72.936904
7.292401,8,73.001816
8.382226,10,73.079921
7.563827,9,73.162454
11.202264,12,73.269934
5.247191,6,73.320605
3.422222,4,73.355422
7.791401,9,73.422497
7.267168,8,73.488806
11.174487,12,73.612174
6.167204,7,73.672885
10.639875,12,73.771556
6.975778,8,73.834746
7.211613,8,73.900731
5.176639,6,73.947962
10.500986,12,74.045804
6.145653,7,74.110557
6.777809,8,74.177573
7.257396,8,74.242932
5.27061,6,74.290503
7.049781,8,74.357629
8.620004,10,74.433435
3.422222,4,74.468275
3.382123,4,74.502714
11.174487,12,74.61002
10.841154,12,74.716667
7.07839,8,74.779828
6.746797,8,74.848702
11.638889,12,74.944789
11.230042,12,75.053686
10.554268,12,75.151705
3.394444,4,75.185587
11.694444,12,75.284401
5.12688,6,75.332674
6.045361,7,75.394476
4.307998,5,75.432088
4.951773,6,75.48634
11.063375,12,75.641115
11.666667,12,75.739606
6.033229,7,75.800366
10.556541,12,75.897303
10.52649,12,76.002298
7.267168,8,76.068273
4.398383,5,76.105609
7.267168,8,76.173001
10.387601,12,76.281538
6.110649,7,76.340791
5.818148,7,76.396761
11.063375,12,76.506555
6.728987,8,76.574377
7.009116,8,76.639287
10.991483,12,76.746673
3.336278,4,76.782059
11.583333,12,76.880321
3.354346,4,76.914532
3.394444,4,76.947902
7.164788,8,77.016142
7.063591,8,77.078942
7.842258,9,77.152142
11.666667,12,77.250479
11.202264,12,77.360075
7.832103,9,77.431983
7.292401,8,77.499257
11.012436,13,77.60615
7.23939,8,77.673815
6.0585,7,77.729028
10.528764,12,77.826934
11.202264,12,77.930121
10.584319,12,78.030075
12.525019,14,78.140456
11.371602,13,78.254315
11.946788,15,78.385315
7.781964,9,78.454482
11.174487,12,78.564053
