#{"t_start": 1764373019.9330518, "env_id": "merge-v0"}
r,l,t
3.444444,4,107.084649
10.358198,12,107.308519
13.078457,14,107.596318
4.331454,5,107.679872
3.401481,4,107.752609
12.939568,14,107.997007
11.41999,14,108.373764
13.689568,15,108.672841
13.634012,15,108.92786
4.093306,5,109.057085
13.800679,15,109.317719
11.722488,15,109.605783
12.541185,14,109.887235
12.633051,15,110.143782
8.62694,10,110.343649
13.050679,14,110.591389
4.401481,5,110.713188
4.237991,5,110.794473
6.162942,7,110.936721
11.41999,14,111.190493
13.078457,14,111.47342
13.078457,14,111.711837
13.050679,14,111.992935
3.347193,4,112.131668
5.275128,6,112.224017
13.078457,14,112.520737
4.347193,5,112.601421
11.41999,14,112.847894
11.916933,15,113.135922
4.444444,5,113.215962
5.133522,6,113.342422
11.916933,15,113.638072
11.916933,15,113.890605
13.023886,15,114.182397
8.596956,10,114.386411
7.758085,9,114.547027
7.758085,9,114.69958
12.605273,15,114.980558
7.892026,9,115.130928
4.235642,5,115.213887
3.347193,4,115.285805
14.106234,16,115.58515
5.265912,6,115.711802
4.422222,5,115.79189
6.921083,8,115.939384
4.347193,5,116.021921
8.059265,9,116.215088
6.258191,7,116.313275
4.401481,5,116.432915
4.331454,5,116.513136
6.265912,7,116.654235
12.752943,14,116.895148
11.41999,14,117.176001
11.027778,12,117.39284
11.41999,14,117.632266
4.373704,5,117.712148
12.744162,15,117.994023
11.916933,15,118.28127
12.314198,14,118.515871
11.41999,14,118.792294
10.501265,12,119.015445
6.927609,8,119.16406
3.422222,4,119.236885
3.303054,4,119.311982
5.278315,6,119.402157
13.078457,14,119.677837
5.217793,6,119.766941
7.07839,8,119.913469
11.91901,15,120.206024
11.889155,15,120.497558
13.800679,15,120.786882
6.169109,7,120.900529
7.004099,8,121.048249
4.174063,5,121.167259
13.772901,15,121.4145
12.744162,15,121.695946
3.316765,4,121.766752
7.938698,9,121.919562
11.916933,15,122.206053
7.095823,8,122.353135
11.41999,14,122.639132
4.422222,5,122.718369
8.730301,10,122.875587
5.166848,6,123.015617
5.127023,6,123.104851
12.360814,16,123.397431
13.856234,15,123.683312
4.398383,5,123.765171
12.884012,14,124.039933
13.050679,14,124.268799
4.319963,5,124.389382
13.856234,15,124.640566
11.889155,15,124.930364
11.41999,14,125.207796
7.003173,8,125.361924
11.916933,15,125.609387
3.156959,4,125.683067
8.620004,10,125.899161
11.889155,15,126.18901
4.382123,5,126.269442
3.382123,4,126.348452
5.278315,6,126.439092
7.031371,8,126.585914
4.247054,5,126.707909
13.606234,15,126.953386
11.41999,14,127.223638
3.382123,4,127.294711
4.2,5,127.381601
13.856234,15,127.670615
13.717346,15,127.960871
12.633051,15,128.199169
12.744162,15,128.494497
12.079443,14,128.771918
4.316765,5,128.850792
12.18742,14,129.088615
8.059265,9,129.287593
4.382123,5,129.366974
11.41999,14,129.6113
11.364434,14,129.888726
13.772901,15,130.185673
12.475165,14,130.428905
6.876851,8,130.582924
6.914641,8,130.728203
8.031487,9,130.885458
5.23939,6,131.018045
4.382123,5,131.09705
12.752943,14,131.376983
8.059265,9,131.538392
3.401481,4,131.606089
3.394444,4,131.689503
5.275128,6,131.779348
13.856234,15,132.062241
13.717346,15,132.351261
11.916933,15,132.632665
8.059265,9,132.790049
8.059265,9,132.951816
5.316765,6,133.133323
8.059265,9,133.302603
3.364056,4,133.381947
13.800679,15,133.680494
5.237991,6,133.775391
6.904629,8,133.941942
12.318326,14,134.311068
3.382123,4,134.38499
6.162942,7,134.485975
6.173699,7,134.627262
6.980174,8,134.771249
8.059265,9,134.965144
12.752943,14,135.271748
7.292455,8,135.435289
13.078457,14,135.698636
4.331454,5,135.833904
4.401481,5,135.922551
3.422222,4,135.999566
13.078457,14,136.252862
13.050679,14,136.551965
13.800679,15,136.89941
4.380339,5,136.982376
13.745123,15,137.261955
13.856234,15,137.513535
13.911513,15,137.812083
4.316765,5,137.893203
13.078457,14,138.174402
6.252945,7,138.313742
8.059265,9,138.474932
4.422222,5,138.562492
6.136239,7,138.712297
4.364056,5,138.797679
12.218331,14,139.116215
3.422222,4,139.199522
3.364056,4,139.275396
11.41999,14,139.519468
6.241405,7,139.671713
11.41999,14,139.927995
12.218331,14,140.211525
11.916933,15,140.515625
12.549718,15,140.769539
4.13446,5,140.891234
12.59578,15,141.139711
12.577496,15,141.434809
5.820167,7,141.581962
6.652744,8,141.730868
10.167653,12,141.958461
12.633051,15,142.349447
11.41999,14,142.655019
5.237991,6,142.790896
8.031487,9,142.98163
6.275128,7,143.199804
8.06402,9,143.366262
11.41999,14,143.633594
13.078457,14,143.930902
3.422222,4,144.004418
13.384012,15,144.338507
13.856234,15,144.594102
4.249538,5,144.716228
4.380339,5,144.79953
4.235642,5,144.879147
13.91179,15,145.169488
11.41999,14,145.411795
12.856226,14,145.689168
4.347945,5,145.76956
7.024867,8,145.914922
3.303054,4,145.986373
5.275128,6,146.11551
11.835677,15,146.355783
6.104346,7,146.493857
6.257396,7,146.632317
4.228987,5,146.716355
4.109232,5,146.794466
6.241405,7,146.931465
6.275128,7,147.068259
5.331454,6,147.158719
8.059265,9,147.354574
3.401481,4,147.427031
6.904629,8,147.575768
3.401481,4,147.648377
11.41999,14,147.892122
11.41999,14,148.166555
5.295848,6,148.254704
13.050679,14,148.538537
4.394444,5,148.617822
5.307453,6,148.706457
8.059265,9,148.903775
5.295848,6,148.993603
12.995123,14,149.271205
12.995123,14,149.510428
3.255556,4,149.582211
3.338889,4,149.655785
5.173431,6,149.786197
12.051665,14,150.026596
3.326568,4,150.097819
13.076834,14,150.378361
11.41999,14,150.627919
12.218331,14,150.906525
13.078457,14,151.146441
4.347193,5,151.23419
7.086718,8,151.378163
7.087433,8,151.525766
11.972488,15,151.815881
8.059265,9,151.975139
6.265912,7,152.112208
7.257396,8,152.259327
6.185305,7,152.39782
6.959825,8,152.54831
4.401481,5,152.628954
4.316765,5,152.70909
8.06402,9,152.908
8.06402,9,153.067002
6.884454,8,153.212937
4.347193,5,153.294654
4.422222,5,153.374667
4.444444,5,153.502288
8.059265,9,153.663442
9.988293,12,153.886179
11.53646,13,154.116044
11.53646,13,154.350072
6.831764,8,154.500553
4.444444,5,154.618698
7.133522,8,154.764434
3.331454,4,154.83976
5.128279,6,154.92778
5.182258,6,155.05516
3.364056,4,155.126101
10.319987,13,155.39619
12.218331,14,155.669663
7.10483,8,155.81691
8.059265,9,156.012909
4.363553,5,156.098311
13.856234,15,156.389103
12.218331,14,156.628967
4.275277,5,156.709392
3.303054,4,156.785001
12.27384,14,157.062447
6.976091,8,157.214701
4.336278,5,157.295035
13.050679,14,157.579575
13.689568,15,157.853801
5.182579,6,157.983231
3.364056,4,158.054897
6.238134,7,158.198837
3.331454,4,158.278989
6.162942,7,158.379647
8.059265,9,158.581641
6.265912,7,158.681906
3.336278,4,158.753653
5.347193,6,158.881095
5.303054,6,158.969946
3.422222,4,159.048128
3.382123,4,159.120084
4.401481,5,159.239048
13.078457,14,159.539709
13.078457,14,159.843532
4.290258,5,159.932572
4.227778,5,160.019753
4.401481,5,160.163343
13.078457,14,160.459616
3.347945,4,160.535751
13.745123,15,160.874974
14.689568,17,161.205422
12.633051,15,161.499932
7.858198,9,161.663528
5.235642,6,161.756478
